Name,Label,True
01_-_the_revealing_science_of_god_-_dance_of_the_dawn_320_lame_cbr.mp3,prog,prog
La conquista della posizione eretta.mp3,prog,prog
01 - Song Within A Song.mp3,prog,prog
01-Zarathustra.mp3,prog,prog
01 The Gates Of Delirium.mp3,prog,prog
04 Black Rose Immortal.mp3,prog,prog
01 - UFO.mp3,prog,prog
03_Anesthetize.mp3,prog,prog
05 - Starless.mp3,prog,prog
03 - Suenos De Maniqui.mp3,non-prog,prog
01 Jordrok.mp3,prog,prog
"01-The Bryden 2-Step (For Amphibians), Pt.1.mp3",prog,prog
prog_train.ods,non-prog,prog
03 - Halleluwah.mp3,non-prog,prog
L'evoluzione.mp3,non-prog,prog
06. Anekdoten - Our Days Are Numbered.mp3,prog,prog
MIKE OLDFIELD - Part One (Tubular Bells I).mp3,prog,prog
Opeth - The Moor.mp3,prog,prog
105-emerson_lake_and_palmer-karn_evil_9_1st_impression_(part_1).mp3,prog,prog
-04- Knots.mp3,prog,prog
01-hymn_of_the_seventh_galaxy_320_lame_cbr.mp3,prog,prog
101 21st Century Schizoid Man.mp3,prog,prog
01 Script For A Jester's Tear.mp3,prog,prog
06-king_crimson-larks_tounges_in_aspic_(part_ii).mp3,prog,prog
01_-_ace_of_wands_320_lame_cbr.mp3,non-prog,prog
01. Folklore.mp3,non-prog,prog
4 Foxlight.mp3,prog,prog
08_-_opeth_-_blackwater park_-_blackwater park.mp3,prog,prog
01 - Roundabout.mp3,prog,prog
05_Arriving Somewhere but Not Here.mp3,prog,prog
05_The_Afternoon_a_Afternoon_b_Evening.mp3,prog,prog
Frances the Mute-The Mars Volta-05-Cassandra Geminni 1.mp3,non-prog,prog
Syzygy_Dialectic.mp3,non-prog,prog
(Disc 2) 01 - Telepathic Minds.mp3,prog,prog
02. The Road Of Bones.mp3,non-prog,prog
02 In a Silent Way...It's About that Time.mp3,non-prog,prog
03_YYZ_Rush_Moving_Pictures_Deluxe_Edition_2011.mp3,non-prog,prog
01. The Same River.mp3,prog,prog
Kansas_08_Magnum_Opus.mp3,prog,prog
01 Hortz Fur Dehn Stekehn West.mp3,non-prog,prog
05-Nine Feet Underground.mp3,prog,prog
04Billy Cobham - Stratus.mp3,prog,prog
12 - The Garden.mp3,prog,prog
08 - The Divine Wings Of Tragedy.mp3,prog,prog
06 Mekanik Kommandoh.mp3,prog,prog
01Al Di Meola - Flight over Rio.mp3,prog,prog
08. Guardian.mp3,prog,prog
01-Hocus Pocus.mp3,prog,prog
02 Can You Understand.mp3,prog,prog
01 - School.mp3,non-prog,prog
08 - Kingdom Of Dreams.mp3,prog,prog
07 A Louse Is Not A Home.mp3,non-prog,prog
Kraftwerk - 01 - Autobahn.mp3,non-prog,prog
01-genesis-dancing_with_the_moonlit_knight.mp3,non-prog,prog
04 - The River Under.mp3,non-prog,prog
04 The Sleepwalkers.mp3,non-prog,prog
01.A passion play 1.mp3,prog,prog
09 - Ice (Remastered 2023).mp3,non-prog,prog
Thick As A Brick.mp3,prog,prog
Appena un poco.mp3,prog,prog
08 - White Walls.mp3,non-prog,prog
101-elp-tarkus.mp3,prog,prog
05. When the Water Breaks.mp3,prog,prog
01. The Light.mp3,prog,prog
01 Meeting of the Spirits.mp3,prog,prog
01 Peaches En Regalia.mp3,prog,prog
05 Red Shift.mp3,prog,prog
01. Vert.mp3,prog,prog
Procol_Harum_In_Held.mp3,prog,prog
Ne_Obliviscaris_And_Plague_Flowers_The_Kaleidoscope.mp3,prog,prog
08-This Strange Engine.mp3,non-prog,prog
205 The Court Of The Crimson King.mp3,non-prog,prog
Emerson_Lake_Palmer_Peter_Gunn.mp3,prog,prog
02. Bleed (live).mp3,prog,prog
01 - Phaedra.mp3,non-prog,prog
06_Genesis_Supper's Ready.mp3,prog,prog
Pain of Salvation - The Perfect Element I - 02. In the Flesh.mp3,prog,prog
02_Dogs.mp3,prog,prog
01 - Luminol.mp3,prog,prog
01 - Birds of Fire.mp3,non-prog,prog
01_Genesis_Watcher of the Skies.mp3,prog,prog
06-In a glass house.mp3,prog,prog
Eloy - Poseidon's Creation.mp3,prog,prog
11 Bohemian Rhapsody.mp3,prog,prog
08 - Octavarium.mp3,non-prog,prog
06 - Ultimo Entardecer.mp3,prog,prog
The Flower Kings - 1997 Stardust We Are CD2 - 11 - Stardust We Are.mp3,prog,prog
03 A Plague of Lighthouse Keepers.mp3,non-prog,prog
06 - Echoes.mp3,prog,prog
01 - When the Heart Rules the Mind.mp3,prog,prog
06 - Scene Four  Beyond This Life.mp3,prog,prog
01_Shine On You Crazy Diamond I.mp3,prog,prog
01_A_Change_of_Seasons_I_Sunrise_II_Innocence_III_Carpe_Diem_IV_Winters_V_Another_World_VI_Summer_VII_Sunset.mp3,prog,prog
09 Heart Of The Sunrise.mp3,prog,prog
Steve_Hackett_The_Return_of_the_Giant_Hogweed.mp3,non-prog,prog
09 - Ancestral.mp3,prog,prog
04. Second Life Syndrome.mp3,prog,prog
5  The architect.mp3,prog,prog
05. Part V.mp3,prog,prog
09. Bo Hansson - Rohans Horn - Slaget vid Pelennors slatter.mp3,prog,prog
01. Hallogallo.mp3,prog,prog
06 Forgotten Sons.mp3,prog,prog
01-The runaway.mp3,prog,prog
02 Scorched Earth.mp3,non-prog,prog
01 - Songs From The Wood (2003 Digital Remaster).mp3,prog,prog
01-Sospesi Nell'Incredibile.mp3,non-prog,prog
01. Hazard Profile Part One.mp3,non-prog,prog
13 - A Day in the Life.mp3,prog,prog
01_Yours Is No Disgrace.mp3,prog,prog
01 Close to the Edge I. The Solid Time of Change II. Total Mass Retain III.  I GetUp I Get Down IV. Seasons of Man).mp3,non-prog,prog
103 Moon In June.mp3,prog,prog
103 Epitaph.mp3,non-prog,prog
06. Milliontown.mp3,non-prog,prog
04-Stranger In Your Soul_Resampled.mp3,prog,prog
04 Operation- Mindcrime.mp3,non-prog,prog
03_Time.mp3,prog,prog
07 - Zartlicher Abschied.mp3,prog,prog
Big Big Train - English Electric (Part Two) - 01 - East Coast Racer.mp3,prog,prog
05_Schism.mp3,non-prog,prog
07_The_Night_Nights_in_White_Satin.mp3,non-prog,prog
5 A Sprinkling Of Clouds.mp3,prog,prog
04. The Czar I. Usurper - II. Escape - III. Martyr - IV. Spiral_khaos[].mp3,prog,prog
02 Willie The Pimp.mp3,prog,prog
05-Phallus Dei.mp3,non-prog,prog
01_2112_I_Overture_II_Temples_of_Syrinx_III_Discovery_IV_Presentation_V_Oracle_VI_Soliloquy_VII_Grand_Finale.mp3,prog,prog
07 - Fool's Overture.mp3,prog,prog
03Uriah Heep - July Morning.mp3,prog,prog
12-animals_as_leaders-song_of_solomon.mp3,prog,prog
Caravan_The_Love_In_Your_Eye.mp3,non-prog,prog
01_Genesis_The Musical Box.mp3,prog,prog
Baris_Manco_Bay_Koca_Destani_2023.mp3,prog,prog
03-genesis-firth_of_fifth.mp3,prog,prog
02 - Odyssey.mp3,prog,prog
13 Aenema.mp3,prog,prog
05 - Vivaldi.mp3,prog,prog
03. Omen.mp3,prog,prog
04_La_Villa_Strangiato_Rush_Hemispheres_Deluxe_Edition.mp3,prog,prog
06 Megalyth.mp3,prog,prog
05 Soup.mp3,non-prog,prog
05 - Fatal Tragedy.mp3,prog,prog
09 - Headlong Flight.mp3,prog,prog
4-Song Of Scheherazade.mp3,prog,prog
08 - Lady Fantasy.mp3,non-prog,prog
03-House Of The Rising Sun.mp3,prog,non-prog
Gin_Blossoms_Hey_Jealousy.mp3,non-prog,non-prog
11 - Lonely People.mp3,prog,non-prog
04 - Devil's Advocate _ Bambodansarna.mp3,prog,non-prog
02 - Burnin' For You.mp3,non-prog,non-prog
09-Year Of The Cat.mp3,non-prog,non-prog
Neha_Kakkar_Yaad_Piya_Ki_Aane_Lagi.mp3,prog,non-prog
01.ArmenMiran-PreciousStory.mp3,prog,non-prog
10-hozier-be-65228571.mp3,non-prog,non-prog
07 Eight Miles High.mp3,prog,non-prog
07 - While The Earth Sleeps (feat Peter Gabriel).mp3,prog,non-prog
07 - Head Over Heels  Broken.mp3,non-prog,non-prog
C-Pop_Hits_1.mp3,prog,non-prog
03 Horns Surrounding Me.mp3,prog,non-prog
www.NewAlbumReleases.net_14 - Hyyerr (Feat. Chip Tha Ripper).mp3,prog,non-prog
01 - End Titles from Blade Runner.mp3,prog,non-prog
01_Surfing with the Alien.mp3,non-prog,non-prog
16 - Navras.mp3,non-prog,non-prog
11 - Inoculate the Innocuous.mp3,prog,non-prog
03 Supermassive Black Hole.mp3,prog,non-prog
08 - Damage Inc  (LP Version).mp3,non-prog,non-prog
10 - Don't You Want Me - The Human League.mp3,prog,non-prog
07-Cage-The-Elephant---Aint-No-Rest-For-The-Wicked.mp3,prog,non-prog
Ursine Vulpine ft Annaca   Wicked Game (Lyrics).mp3,prog,non-prog
07-do_it_again_320_lame_cbr.mp3,prog,non-prog
01 - Under the Pressure.mp3,prog,non-prog
7 - The Hurt Inside.mp3,prog,non-prog
08 I Could Have Danced All Night.mp3,non-prog,non-prog
16 - Madhuban Mein Radhika Nache Re (Kohinoor 1960).mp3,non-prog,non-prog
04-deacon_blues_320_lame_cbr.mp3,prog,non-prog
The Jimi Hendrix Experience - Voodoo Chile.mp3,non-prog,non-prog
03 - Don't Believe The Hype.mp3,non-prog,non-prog
Cardi_B_WAP.mp3,non-prog,non-prog
Ali Farka Toure with Ry Cooder - Talking Timbuktu - 10 - Diaraby.mp3,non-prog,non-prog
03 - Bayaty.mp3,prog,non-prog
10 All Is Full Of Love.mp3,non-prog,non-prog
01 Machu Picchu.mp3,non-prog,non-prog
Allie_X_Not_So_Bad_in_LA.mp3,prog,non-prog
Little_Simz_Woman.mp3,prog,non-prog
13 Metin Arolat - Elveda.mp3,prog,non-prog
02 Aja.mp3,prog,non-prog
14 - 25 or 6 to 4 (Steven Wilson Remix).mp3,prog,non-prog
01-blueprint_320_lame_cbr.mp3,non-prog,non-prog
04-Invisible Limits.mp3,prog,non-prog
02. Planet Earth.mp3,prog,non-prog
Kid_Cudi_Frequency.mp3,prog,non-prog
101-led_zeppelin-immigrant_song.mp3,non-prog,non-prog
05 we're drowning in it.mp3,non-prog,non-prog
01 - Blinded By The Light.mp3,prog,non-prog
03 Julianna Barwick - One Half.mp3,prog,non-prog
07. Black Hole Sun.mp3,prog,non-prog
07_Johnny B. Goode.mp3,prog,non-prog
Tame_Impala_01_Let_It_Happen.mp3,non-prog,non-prog
06 Naima.mp3,prog,non-prog
01 - Immigrant Song.mp3,non-prog,non-prog
08 Behind Blue Eyes.mp3,prog,non-prog
01 - Radioactive.mp3,non-prog,non-prog
01-We're An American Band.mp3,prog,non-prog
11 - Hello Earth.mp3,prog,non-prog
03 - Take Five (LP Version).mp3,prog,non-prog
05-Flourescent Adolescent.mp3,prog,non-prog
22 Turn On The News.mp3,prog,non-prog
02 Peace Of Mind.mp3,prog,non-prog
20 - They Can't Take That Away from Me (Remastered).mp3,prog,non-prog
11-zao-a_last_time_for_everything.mp3,non-prog,non-prog
slow thai Mura Masa - Doorman.mp3,prog,non-prog
A Tribe Called Quest - Midnight Marauders - 14 - God Lives Through.mp3,prog,non-prog
03 - The national anthem.mp3,non-prog,non-prog
04---Relax---Frankie-Goes-To-Hollywood.mp3,prog,non-prog
23-The-Weeknd---I-Feel-It-Coming-(Feat-Daft-Punk).mp3,prog,non-prog
the-chainsmokers-&-coldplay---something-just-like-this.mp3,prog,non-prog
Lorde-Green-Light.mp3,non-prog,non-prog
06 Californication.mp3,prog,non-prog
Edgar_Winter_Frankenstein.mp3,prog,non-prog
02 - Adagio in C Minor.mp3,prog,non-prog
01 - Mustt Mustt (Lost in His Work).mp3,prog,non-prog
01 Play Your Part (Pt. 1).mp3,non-prog,non-prog
17 - Cross Road Blues (take 1).mp3,prog,non-prog
Symphony_40_G_Minor.mp3,prog,non-prog
02 - Someone In The Crowd.mp3,non-prog,non-prog
03-oneohtrix_point_never-betrayed_in_the_octagon-kouala.mp3,prog,non-prog
06. In A Gadda Da Vida.mp3,non-prog,non-prog
1-01 Eruption.mp3,non-prog,non-prog
06 Tales Of Brave Ulysses.mp3,prog,non-prog
01 - Tiempo Al Tiempo.mp3,prog,non-prog
Golden Earring - Radar Love.mp3,prog,non-prog
Anu_Orta_Veniya.mp3,prog,non-prog
04 - Ted Just Admit it.......mp3,prog,non-prog
06 - De Música Ligera (Remasterizado 2007).mp3,prog,non-prog
David-Guetta-Ft.-Sia---Titanium-(Instrumental)-[Download].mp3,prog,non-prog
04. Air Supply - All Out Of Love.mp3,prog,non-prog
09 - Dilettante.mp3,prog,non-prog
Russ Conway - Pepe.mp3,prog,non-prog
09Henry Mancini - Peter Gunn.mp3,prog,non-prog
04 Cracker - Low.mp3,prog,non-prog
05 - Modern Love (2002 Remastered Version).mp3,prog,non-prog
Pink_Sweat_Icy.mp3,prog,non-prog
05. Violin Concerto in E minor op.64 - I Allegro molto appassionato.mp3,prog,non-prog
Run_The_Jewels_Yankee_and_the_Brave.mp3,prog,non-prog
06 - Sigur Rós - Sæglópur.mp3,prog,non-prog
The Revivalists - Wish I Knew You.mp3,prog,non-prog
06 Felt Mountain.mp3,prog,non-prog
05 Homewrecker.mp3,prog,non-prog
02 - Killer Queen.mp3,prog,non-prog
04 - Elton John - Goodbye Yellow Brick Road (Remastered 2014).mp3,prog,non-prog
Peach_Pit_Almighty_Aphrodite.mp3,non-prog,non-prog
10 The Thrill Is Gone.mp3,prog,non-prog
04 - Suspended in Gaffa.mp3,prog,non-prog
09 - Zum.mp3,non-prog,non-prog
Lizzo_Juice.mp3,prog,non-prog
Salif Keita - Cono.mp3,non-prog,non-prog
02 - Joie De Vivre.mp3,prog,non-prog
rasme-asheghi.mp3,non-prog,non-prog
03_Losfer Words (Big 'Orra).mp3,non-prog,non-prog
Ruelle_The_World_We_Made.mp3,non-prog,non-prog
04 - Somebody Told Me.mp3,non-prog,non-prog
01_Aces High.mp3,non-prog,non-prog
Green Day -07- Basket Case.mp3,prog,non-prog
