Name,Label,True
05-lana_del_rey-doin_time.mp3,prog,non-prog
04 Dounounia.mp3,non-prog,non-prog
"Daft Punk - 04 - Harder, Better, Faster, Stronger.mp3",non-prog,non-prog
Imagine-Dragons---Believer.mp3,prog,non-prog
04 - El corrido de Alfonso.mp3,prog,non-prog
06 - Sweet Dreams (Are Made Of This).mp3,prog,non-prog
12 - Buckingham Green.mp3,prog,non-prog
04 - Big Shot.mp3,prog,non-prog
Cranberries - 04 - Zombie.mp3,prog,non-prog
13 - Layla.mp3,prog,non-prog
01 - amy winehouse - rehab.mp3,non-prog,non-prog
08 - Tsinandali Choir - Orovela.mp3,prog,non-prog
07 - Wake Up.mp3,prog,non-prog
06 - How Soon Is Now_.mp3,non-prog,non-prog
101-tom_petty_and_the_heartbreakers-refugee.mp3,prog,non-prog
04 - Interstate Love Song.mp3,prog,non-prog
01 War Pigs _ Luke's Wall.mp3,prog,non-prog
04 - Piano Concerto No. 2 - 1. Allegro.mp3,non-prog,non-prog
2-10 Dear Mama.mp3,prog,non-prog
Ed-Sheeran---Shape-of-You.mp3,non-prog,non-prog
Beyonce_Cuff_It.mp3,non-prog,non-prog
03 - Angel of Music.mp3,prog,non-prog
01-Janitor Of Lunacy.mp3,prog,non-prog
02 - Zombified.mp3,prog,non-prog
03. Ten-Day Interval.mp3,prog,non-prog
03. Rag Doll.mp3,prog,non-prog
notprog_other_train.ods,prog,non-prog
03-the_strokes-brooklyn_bridge_to_chorus.mp3,prog,non-prog
01 - Autumn Lords.mp3,non-prog,non-prog
07 - Subterranean.mp3,prog,non-prog
Disintegration-The Cure-09-The Same Deep Water as You.mp3,prog,non-prog
Lil Nas X - Old Town Road (feat. Billy Ray Cyrus).mp3,non-prog,non-prog
03 Space Song.mp3,prog,non-prog
05. This Time.mp3,prog,non-prog
CCR_Who'll Stop The Rain.mp3,prog,non-prog
(06) [Alice Cooper] No More Mr. Nice Guy.mp3,prog,non-prog
02 - Woman In Love (Album Version).mp3,non-prog,non-prog
01. B.mp3,prog,non-prog
06 Savana Dance.mp3,prog,non-prog
Nena ‎- 99 Luftballons.mp3,prog,non-prog
Kind Of Blue-Miles Davis-02-Freddie Freeloader.mp3,non-prog,non-prog
01 - Only Shallow.mp3,non-prog,non-prog
02 - Petrichrist.mp3,non-prog,non-prog
Bad_Bunny_Si_Veo_A_Tu_Mama.mp3,prog,non-prog
12_Toxicity.mp3,non-prog,non-prog
01 Styx - Grand Illusion.mp3,prog,non-prog
02 End Game (feat. Ed Sheeran & Future).mp3,non-prog,non-prog
1-03 Wonderwall.mp3,non-prog,non-prog
02-blondie-call_me-rns.mp3,prog,non-prog
01_Pulcinella_1st_scene_Overture.mp3,prog,non-prog
Closer.mp3,prog,non-prog
07 Guy's Eyes.mp3,prog,non-prog
07 - You Really Got Me.mp3,prog,non-prog
27.-The-Chainsmokers---Paris.mp3,prog,non-prog
09_Jewel Of The Summertime.mp3,prog,non-prog
02. Ascension (feat. Vince Staples).mp3,prog,non-prog
08 - Anarchy In The U.K.mp3,prog,non-prog
Paul Gilbert - Technical Difficulties (Racer X).mp3,prog,non-prog
Billy Joel - It's Still Rock And Roll To Me.mp3,non-prog,non-prog
19 - Tusk.mp3,prog,non-prog
Playboi_Carti_Rockstar_Made.mp3,non-prog,non-prog
01 - My Spirit Will Go On.mp3,prog,non-prog
Sharon_Van_Etten_Seventeen.mp3,prog,non-prog
SZA_Kill_Bill.mp3,prog,non-prog
04 - Out Of The Blue.mp3,prog,non-prog
05-shock_the_monkey_320_lame_cbr.mp3,non-prog,non-prog
"13 - So Long, Farewell.mp3",non-prog,non-prog
05 - Moonwind.mp3,non-prog,non-prog
07_Summoning Of The Muse.mp3,prog,non-prog
06. Blue Jeans.mp3,non-prog,non-prog
Chase Atlantic - SLIDE (Official Music Video).mp3,prog,non-prog
Julia-Michaels---Issues.mp3,prog,non-prog
09 - Golden Brown [Explicit].mp3,non-prog,non-prog
06 - Give It Up.mp3,prog,non-prog
01 - Harden My Heart.mp3,prog,non-prog
Hallelujah_Kate_McKinnon.mp3,prog,non-prog
01 - Loser.mp3,non-prog,non-prog
K-Pop_1.mp3,non-prog,non-prog
Titi_Me_Pregunto.mp3,prog,non-prog
05-Tjolky [Тьолки].mp3,prog,non-prog
11 Better Man.mp3,prog,non-prog
06 - Cruel Summer.mp3,prog,non-prog
08 - Asmarina (My Asmara).mp3,non-prog,non-prog
O_Re_Piya_Rahat Fateh Ali Khan_ Salim-Sulaiman.mp3,non-prog,non-prog
24_Billy_Vaughan_Orange_Blossom_Special.mp3,non-prog,non-prog
01. Painkiller.mp3,prog,non-prog
03 Midnight At The Bazaar.mp3,prog,non-prog
05 Clocks.mp3,non-prog,non-prog
Chinna Chinna Aasai - ROJA.mp3,prog,non-prog
Metro_Boomin_On_Time.mp3,non-prog,non-prog
06 The Temple of the King.mp3,prog,non-prog
Khalil_Fong_Love_in_this_world.mp3,non-prog,non-prog
Billie_Eilish_What_Was_I_Made_For.mp3,prog,non-prog
06_The Offspring_Gone Away.mp3,prog,non-prog
Marco_Luka_Paradise.mp3,non-prog,non-prog
Charli_XCX_Speed_Drive_Barbie.mp3,prog,non-prog
12 - Round And Round [12_ Version].mp3,prog,non-prog
02 - A Whiter Shade Of Pale.mp3,prog,non-prog
09. Tel Aviv.mp3,prog,non-prog
06 - Janelle Monae - Cold War.mp3,prog,non-prog
03 - No Doubt - Just a Girl.mp3,prog,non-prog
The Neighbourhood - Wiped Out.mp3,prog,non-prog
Taylor_Swift_All_Too_Well_Taylor_Version.mp3,prog,non-prog
04 - Condor Pasa.mp3,prog,non-prog
05-bangles-hazy_shade_of_winter.mp3,prog,non-prog
09 I'm Just a Singer (In a Rock and Roll Band).mp3,non-prog,non-prog
10. Michael Sembello - Maniac.mp3,prog,non-prog
Kabir_Singh_Bekhayali.mp3,non-prog,non-prog
10 - 2000 Miles .mp3,prog,non-prog
06-alone_again_or_320_lame_cbr.mp3,prog,non-prog
20 - Thelonious Monk - 'Round Midnight.mp3,prog,non-prog
01 - I.G.Y..mp3,prog,non-prog
11 - Your Lucky Day In Hell.mp3,prog,non-prog
Russian_2.mp3,prog,non-prog
Cosmia.mp3,prog,non-prog
04 The Unforgettable Fire.mp3,prog,non-prog
3. My Beautiful Dark Twisted Fantasy - POWER.mp3,prog,non-prog
Serge_Prokofiev_1.mp3,prog,non-prog
"09 - Madonna, Sean and Me.mp3",prog,non-prog
10 - Jefferson Airplane - Surrealistic Pillow  - White Rabbit.mp3,prog,non-prog
"Travis Scott - CIRCUS MAXIMUS (Official Audio) ft. The Weeknd, Swae Lee.mp3",prog,non-prog
07 Say It Ain't So.mp3,non-prog,non-prog
09 - Money For Nothing (Album Version).mp3,non-prog,non-prog
08-love_to_love_320_lame_cbr.mp3,prog,non-prog
02_Violin_Concerto_in_D_Major_Adagio.mp3,prog,non-prog
08 Listen.mp3,prog,non-prog
13 - Al Hahla Al ’Ali.mp3,prog,non-prog
The_Technicolors_Tonight_You_Are_Mine.mp3,prog,non-prog
02 - Arc of a Diver.mp3,prog,non-prog
02. Top Of The World.mp3,non-prog,non-prog
02 The World At Large.mp3,prog,non-prog
05 - Go to the West - Meeting in Menggu Tents - Be Together - Sister Liu.mp3,prog,non-prog
Christine_and_the_Queens_People_Ive_Been_Sad.mp3,prog,non-prog
Brockhampton_Buzzcut_feat_Danny_Brown.mp3,prog,non-prog
01 - It's The End Of The World As We Know It (And I Feel Fine) (Edit) (2006 Digital Remaster).mp3,non-prog,non-prog
Aphex Twin - Avril 14th.mp3,prog,non-prog
13 Famous Last Words.mp3,non-prog,non-prog
06 - Disarm.mp3,prog,non-prog
08 - Xoomij.mp3,prog,non-prog
08 All the Small Things.mp3,non-prog,non-prog
15. Happier Than Ever.mp3,prog,non-prog
01 - Big Chief.mp3,prog,non-prog
01-Light - Look At Your Sun.mp3,non-prog,non-prog
04 - Vera.mp3,prog,non-prog
07. The Cars - Bye Bye Love.mp3,non-prog,non-prog
Twenty_One_Pilots_No_Chances.mp3,prog,non-prog
04 Still D.R.E. (Feat. Snoop Dogg).mp3,prog,non-prog
13. Frank Sinatra - The Girl From Ipanema.mp3,prog,non-prog
02 West End Girls.mp3,prog,non-prog
04 - A Lovely Night.mp3,prog,non-prog
04-The Rip.mp3,prog,non-prog
The Weeknd - The Birds (Trilogy).mp3,non-prog,non-prog
04 - Ayasofya.mp3,prog,non-prog
Collective Soul_The World I Know.mp3,prog,non-prog
01 - Upside Down.mp3,prog,non-prog
1930_Josephine_Baker_J`ai_Deux_Amours.mp3,non-prog,non-prog
notprog_top_pops_train.ods,prog,non-prog
1948_Peggy_Lee_Manana.mp3,prog,non-prog
1949_Vaughan_Monroe_Riders_In_The_Sky.mp3,prog,non-prog
1976_Eagles_Hotel_California.mp3,prog,non-prog
2007_Fergie_Big_Girls_Don't_Cry.mp3,prog,non-prog
1978_Bee_Gees_Night_Fever.mp3,prog,non-prog
1970_Simon_and_Garfunkel_Bridge_Over_Troubled_Water.mp3,prog,non-prog
2017_Migos_Bad_&_Boujee.mp3,prog,non-prog
1988_INXS_Need_You_Tonight.mp3,prog,non-prog
1950_Nat_King_Cole_Mona_Lisa.mp3,prog,non-prog
2000_Sting_Desert_Rose.mp3,prog,non-prog
"2019_Ariana_Grande_Thank_U,_Next.mp3",prog,non-prog
1984_Prince_When_Doves_Cry.mp3,non-prog,non-prog
1951_Tony_Bennett_Because_Of_You.mp3,prog,non-prog
1985_Wham_Careless_Whisper.mp3,non-prog,non-prog
2005_Kelly_Clarkson_Since_U_Been_Gone.mp3,prog,non-prog
1986_Mr._Mister_Broken_Wings.mp3,prog,non-prog
1981_Kim_Carnes_Bette_Davis_Eyes.mp3,non-prog,non-prog
1974_Jackson_5_Dancing_Machine.mp3,prog,non-prog
2013_Bruno_Mars_Locked_Out_Of_Heaven.mp3,prog,non-prog
1975_America_Sister_Golden_Hair.mp3,prog,non-prog
1987_Heart_Alone.mp3,prog,non-prog
1967_The_Doors_Light_My_Fire.mp3,prog,non-prog
1994_Ace_Of_Base_All_That_She_Wants.mp3,prog,non-prog
2021_Silk_Sonic_Leave_the_Door_Open.mp3,non-prog,non-prog
2011_Adele_Rolling_In_The_Deep.mp3,non-prog,non-prog
1977_ABBA_Dancing_Queen.mp3,prog,non-prog
1959_Johnny_Horton_The_Battle_Of_New_Orleans.mp3,prog,non-prog
1966_The_Rolling_Stones_Paint_It_Black.mp3,prog,non-prog
1999_Britney_Spears_...Baby_One_More_Time.mp3,prog,non-prog
2003_Evanescence_Bring_Me_To_Life.mp3,prog,non-prog
1958_The_Champs_Tequila.mp3,prog,non-prog
1998_Celine_Dion_My_Heart_Will_Go_On.mp3,prog,non-prog
1973_Diana_Ross_Touch_Me_In_The_Morning.mp3,prog,non-prog
1953_Les_Paul_And_Mary_Ford_Vaya_Con_Dios.mp3,prog,non-prog
1957_Harry_Belafonte_Banana_Boat_Song.mp3,prog,non-prog
1992_Nirvana_Smells_Like_Teen_Spirit.mp3,prog,non-prog
1940_Tommy_Dorsey_I'll_Never_Smile_Again.mp3,prog,non-prog
1941_Glenn_Miller_Chatanooga_Choo_Choo.mp3,prog,non-prog
1939_Judy_Garland_Somewhere_Over_The_Rainbow.mp3,non-prog,non-prog
2023_Morgan_Wallen_Last_Night.mp3,prog,non-prog
2015_Rihanna_FourFiveSeconds.mp3,prog,non-prog
1946_Perry_Como_Prisoner_of_Love.mp3,prog,non-prog
2004_Usher_Yeah.mp3,non-prog,non-prog
1968_Steppenwolf_Born_To_Be_Wild.mp3,non-prog,non-prog
1971_Rod_Stewart_Maggie_May.mp3,prog,non-prog
1991_Mariah_Carey_Someday.mp3,prog,non-prog
1963_Peter_Paul_And_Mary_Puff_The_Magic_Dragon.mp3,prog,non-prog
2022_Kendrick_Lamar_Beth_Gibbons_Mother_I_Sober.mp3,prog,non-prog
1972_Don_McLean_American_Pie.mp3,non-prog,non-prog
2008_Alicia_Keys_No_One.mp3,prog,non-prog
2014_Katy_Perry_Roar.mp3,prog,non-prog
2012_Taylor_Swift_We_Are_Never_Getting_Back_Together.mp3,prog,non-prog
2018_Drake_God's_Plan.mp3,prog,non-prog
1955_Bill_Haley_And_His_Comets_Rock_Around_The_Clock.mp3,prog,non-prog
1961_Lawrence_Welk_Calcutta.mp3,non-prog,non-prog
1990_Michael_Bolton_How_Am_I_Supposed_To_Live_Without_You.mp3,prog,non-prog
1942_Kay_Kyser_Praise_the_Lord_and_Pass_the_Ammunition.mp3,prog,non-prog
2002_Linkin_Park_In_The_End.mp3,non-prog,non-prog
2001_Train_Drops_Of_Jupiter.mp3,prog,non-prog
1980_Pink_Floyd_Another_Brick_In_The_Wall_Part_II.mp3,prog,non-prog
1997_The_Verve_Bittersweet_Symphony.mp3,prog,non-prog
1979_The_Knack_My_Sharona.mp3,prog,non-prog
1996_Alanis_Morissette_Ironic.mp3,non-prog,non-prog
1945_Harry_James_and_Kitty_Kallen_It's_Been_A_Long_Long_Time.mp3,non-prog,non-prog
2001_Alan_Jackson_Where_Were_You.mp3,prog,non-prog
1993_Snap_Rhythm_Is_A_Dancer.mp3,prog,non-prog
1952_Vera_Lynn_Auf_Wiederseh`n_Sweetheart.mp3,non-prog,non-prog
1962_Ray_Charles_I_Can't_Stop_Loving_You.mp3,prog,non-prog
2010_Lady_Gaga_Telephone.mp3,prog,non-prog
1965_Beach_Boys_California_Girls.mp3,prog,non-prog
2016_Twenty_One_Pilots_Stressed_Out.mp3,non-prog,non-prog
1947_Francis_Craig_and_His_Orchestra_Near_You.mp3,prog,non-prog
1954_Rosemary_Clooney_Hey_There.mp3,prog,non-prog
1969_Neil_Diamond_Sweet_Caroline.mp3,prog,non-prog
1983_Police_Every_Breath_You_Take.mp3,non-prog,non-prog
1995_Hootie_And_The_Blowfish_Hold_My_Hand.mp3,non-prog,non-prog
1960_Bryan_Hyland_Itsy_Bitsy.mp3,prog,non-prog
1989_Milli_Vanilli_Girl_You_Know_It's_True.mp3,prog,non-prog
2009_Beyonce_Single_Ladies_Put_A_Ring_On_It.mp3,prog,non-prog
2020_BTS_Dynamite.mp3,prog,non-prog
1943_Duke_Ellington_In_A_Sentimental.mp3,prog,non-prog
1964_The_Beatles_I_Want_To_Hold_Your_Hand.mp3,non-prog,non-prog
1982_Foreigner_Waiting_For_A_Girl_Like_You.mp3,non-prog,non-prog
1956_Elvis_Presley_Heartbreak_Hotel.mp3,prog,non-prog
2006_Kanye_West_Gold_Digger.mp3,prog,non-prog
1944_Les_Brown_Twilight_Time.mp3,non-prog,non-prog
